S,Pendiente
4717.2369951858,-0.082
4727.8671409985,-0.079
4737.7666359351,-0.075
4746.9861803924,-0.07
4757.6163262051,-0.065
4767.5158211418,-0.059
4777.4153160784,-0.054
4786.6348605357,-0.049
4797.2650063484,-0.045
4807.164501285,-0.041
4817.0639962216,-0.037
4827.6941420344,-0.034
4836.9136864916,-0.03
4846.8131814283,-0.027
4856.7126763649,-0.023
4867.3428221776,-0.019
4877.2423171142,-0.014
4886.4618615715,-0.01
4897.0920073842,-0.005
4906.9915023209,-0.002
4916.8909972575,0.001
4926.7904921941,0.003
4937.4206380068,0.005
4946.6401824641,0.006
4956.5396774007,0.006
4967.1698232135,0.005
4977.0693181501,0.003
4986.2888626074,0
4996.9190084201,-0.003
5006.8185033567,-0.005
5016.7179982933,-0.007
5026.6174932299,-0.007
5036.5169881665,-0.007
5047.1471339793,-0.007
5056.3666784366,-0.008
5066.9968242493,-0.009
5076.2163687066,-0.011
5086.1158636432,-0.012
5096.7460094559,-0.014
5106.6455043925,-0.015
5116.5449993292,-0.015
5125.7645437865,-0.015
5136.3946895992,-0.015
5146.2941845358,-0.014
5156.1936794724,-0.013
5166.1936794724,-0.011
5176.093174409,-0.01
5185.9926693456,-0.009
5195.8921642822,-0.008
5206.522310095,-0.008
5215.7418545523,-0.008
5225.6413494889,-0.008
5236.2714953016,-0.009
5246.1709902382,-0.009
5256.0704851748,-0.01
5265.9699801115,-0.01
5275.9699801115,-0.011
5285.8694750481,-0.011
5295.7689699847,-0.01
5306.3991157974,-0.009
5315.6186602547,-0.008
5325.5181551913,-0.006
5335.4176501279,-0.005
5346.0477959407,-0.004
5355.267340398,-0.003
5365.1668353346,-0.002
5375.7969811473,0
5385.6964760839,0.001
5395.5959710205,0.003
5405.4954659571,0.005
5415.3949608937,0.007
5426.0251067065,0.01
5435.2446511638,0.013
5445.2446511638,0.016
5455.8747969765,0.019
5465.8747969765,0.021
5475.0943414338,0.023
5485.0943414338,0.025
5495.0943414338,0.027
5505.0943414338,0.029
5515.0943414338,0.03
5525.0943414338,0.031
5535.3899715748,0.031
5545.3899715748,0.031
5555.3899715748,0.03
5565.2894665114,0.029
5575.2894665114,0.027
5585.2894665114,0.026
5595.188961448,0.024
5605.0884563846,0.022
5615.0884563846,0.02
5624.9879513212,0.019
5635.618097134,0.017
5645.052078266,0.016
5655.052078266,0.015
5665.052078266,0.014
5675.052078266,0.013
5684.9009360678,0.013
5695.1965662088,0.012
5705.4921963498,0.012
5715.3410541516,0.011
5725.1899119534,0.011
5734.6767449339,0.01
5745.1170514428,0.009
5754.9659092446,0.008
5764.8147670464,0.008
5774.3016000269,0.007
5784.7419065358,0.007
5794.5907643376,0.006
5805.0310708465,0.004
5814.517903827,0.003
5824.3667616288,0.002
5834.8070681377,0.001
5844.6559259395,0.001
5854.14275892,0.002
5864.9130885343,0.002
5874.7619463361,0.003
5884.6108041379,0.003
5894.9064342789,0.004
5904.7552920807,0.005
5915.0509222217,0.006
5924.4849033537,0.008
5934.3337611555,0.009
5944.6293912965,0.011
5954.0633724286,0.013
5964.0633724286,0.015
5974.3590025695,0.016
5984.3590025695,0.018
5994.3590025695,0.02
6004.6546327105,0.023
6014.6546327105,0.025
6024.0886138426,0.028
6034.0886138426,0.03
6044.0886138426,0.032
6054.0886138426,0.033
6064.0886138426,0.034
6074.3842439836,0.034
6084.3842439836,0.035
6094.3842439836,0.035
6104.3842439836,0.035
6114.3842439836,0.036
6123.8182251156,0.036
6134.634878942,0.036
6144.0688600741,0.035
6154.0688600741,0.035
6164.6990058868,0.035
6174.1329870189,0.036
6184.1329870189,0.036
6193.5669681509,0.036
6203.5669681509,0.035
6213.5669681509,0.034
6223.5669681509,0.033
6233.5669681509,0.031
6244.1971139637,0.03
6253.416658421,0.029
6264.0468042337,0.029
6273.266348691,0.029
6283.8964945037,0.029
6293.7959894403,0.029
6303.6954843769,0.029
6314.3256301897,0.029
6324.2251251263,0.029
6334.1246200629,0.029
6344.0241149995,0.028
6353.9236099361,0.027
6363.8231048727,0.026
6373.7225998093,0.025
6383.622094746,0.024
6393.622094746,0.023
6403.5215896826,0.023
6413.4210846192,0.023
6423.4210846192,0.023
6433.3205795558,0.024
6443.2200744924,0.025
6453.119569429,0.026
6463.7497152417,0.026
6473.6492101784,0.025
6483.548705115,0.023
6493.4482000516,0.021
6503.3476949882,0.019
6513.2471899248,0.018
6523.1466848614,0.017
6533.046179798,0.016
6543.046179798,0.015
6552.9456747346,0.015
6562.9456747346,0.014
6572.9456747346,0.013
6582.9456747346,0.012
6592.9456747346,0.01
6602.9456747346,0.009
6612.9456747346,0.008
6623.2413048756,0.008
6633.2413048756,0.008
6642.6752860077,0.008
6652.6752860077,0.008
6662.9709161487,0.009
6672.9709161487,0.01
6682.4048972807,0.011
6693.2215511071,0.013
6703.2215511071,0.015
6712.6555322392,0.017
6722.9511623802,0.019
6732.9511623802,0.021
6742.3851435122,0.022
6752.6807736532,0.023
6762.6807736532,0.023
6772.6807736532,0.024
6782.9764037942,0.024
6792.9764037942,0.024
6802.9764037942,0.024
6812.4103849262,0.024
6822.7060150672,0.024
6831.9255595245,0.024
6841.9255595245,0.024
6852.7422133509,0.025
6862.7422133509,0.025
6871.9617578082,0.026
6882.5919036209,0.027
6892.5919036209,0.028
6902.5919036209,0.029
6912.4913985576,0.03
6922.4913985576,0.031
6932.3908934942,0.031
6942.3908934942,0.032
6952.2903884308,0.034
6962.2903884308,0.035
6972.9205342435,0.037
6982.1400787008,0.039
6992.1400787008,0.041
7002.1400787008,0.042
7012.0395736374,0.043
7022.6697194502,0.043
7031.8892639074,0.042
7042.5194097202,0.04
7051.7389541775,0.039
7062.3690999902,0.037
7071.5886444475,0.035
7082.2187902602,0.034
7092.1182851968,0.033
7102.1182851968,0.033
7112.0177801335,0.034
7121.9172750701,0.036
7131.8167700067,0.038
7141.7162649433,0.041
7151.7162649433,0.043
7162.346410756,0.045
7172.346410756,0.046
7181.7803918881,0.047
7191.7803918881,0.046
7201.7803918881,0.045
7211.6292496899,0.043
7221.9248798309,0.041
7231.7737376327,0.039
7241.6225954345,0.038
7251.4714532363,0.037
7261.9117597452,0.036
7271.1313042025,0.036
7281.5716107114,0.036
7292.0119172203,0.037
7301.2314616776,0.039
7311.4295007048,0.041
7321.4793763259,0.043
7331.6774153531,0.045
7341.7272909742,0.047
7351.7771665953,0.05
7361.9752056225,0.052
7371.0305907606,0.054
7381.0804663818,0.057
7391.1303420029,0.059
7401.180217624,0.062
7411.2300932451,0.064
7421.4281322723,0.065
7431.4780078934,0.066
7441.5278835145,0.067
7451.5777591357,0.068
7460.797303593,0.068
7470.8471792141,0.069
7480.8970548352,0.069
7490.9469304563,0.069
7500.9968060774,0.069
7511.0466816986,0.069
7521.2447207257,0.069
7531.2945963469,0.07
7541.4926353741,0.07
7550.5480205122,0.071
7560.5978961333,0.071
7570.6477717544,0.071
7580.6976473756,0.07
7590.7475229967,0.07
7600.9455620239,0.069
7610.995437645,0.069
7621.0453132661,0.068
7631.2433522933,0.068
7640.4628967506,0.068
7650.6609357778,0.067
7660.858974805,0.066
7670.3458077855,0.065
7680.7861142944,0.063
7690.2729472749,0.06
7700.1218050767,0.057
7710.8921346909,0.054
7720.326115823,0.05
7730.621745964,0.046
7740.055727096,0.041
7750.8723809224,0.037
7760.8723809224,0.032
7770.0919253797,0.027
7780.0919253797,0.022
7789.9914203163,0.018
7799.8909152529,0.014
7809.7904101896,0.011
7820.4205560023,0.01
7830.3200509389,0.009
7840.3200509389,0.009
7849.5395953962,0.008
7860.1697412089,0.008
