              L,     Z,     P
394,910.073,-0.5
395,910.068,-0.5
396,910.063,-0.5
397,910.058,-0.5
398,910.053,-0.5
399,910.048,-0.5
400,910.043,-0.5
401,910.038,-0.5
402,910.033,-0.5
403,910.028,-0.5
404,910.023,-0.5
405,910.018,-0.5
406,910.013,-0.5
407,910.008,-0.5
408,910.003,-0.5
409,909.998,-0.5
410,909.993,-0.5
411,909.988,-0.5
412,909.983,-0.5
413,909.978,-0.5
414,909.973,-0.5
415,909.968,-0.5
416,909.963,-0.5
417,909.958,-0.5
418,909.953,-0.5
419,909.948,-0.5
420,909.943,-0.5
421,909.938,-0.5
422,909.933,-0.5
423,909.928,-0.5
424,909.923,-0.5
425,909.918,-0.5
426,909.913,-0.5
427,909.908,-0.5
428,909.903,-0.5
429,909.898,-0.5
430,909.893,-0.5
431,909.888,-0.5
432,909.883,-0.5
433,909.878,-0.5
434,909.873,-0.5
435,909.868,-0.5
436,909.863,-0.5
437,909.858,-0.5
438,909.853,-0.5
439,909.848,-0.5
440,909.843,-0.5
441,909.838,-0.5
442,909.833,-0.5
443,909.828,-0.5
444,909.823,-0.5
445,909.818,-0.5
446,909.813,-0.5
447,909.808,-0.5
448,909.803,-0.5
449,909.798,-0.5
450,909.793,-0.5
451,909.788,-0.5
452,909.783,-0.5
453,909.778,-0.5
454,909.773,-0.5
455,909.768,-0.5
456,909.763,-0.5
457,909.758,-0.5
458,909.753,-0.5
459,909.748,-0.5
460,909.743,-0.5
461,909.738,-0.5
462,909.733,-0.5
463,909.728,-0.5
464,909.723,-0.5
465,909.718,-0.5
466,909.713,-0.5
467,909.708,-0.5
468,909.703,-0.5
469,909.698,-0.5
470,909.693,-0.5
471,909.688,-0.5
472,909.683,-0.5
473,909.678,-0.5
474,909.673,-0.5
474.138,909.672,-0.5
475,909.668,-0.5144
476,909.663,-0.531
477,909.657,-0.5477
478,909.652,-0.5644
479,909.646,-0.581
480,909.64,-0.5977
481,909.634,-0.6144
482,909.628,-0.631
483,909.621,-0.6477
484,909.615,-0.6644
485,909.608,-0.681
486,909.601,-0.6977
487,909.594,-0.7144
488,909.587,-0.731
489,909.58,-0.7477
490,909.572,-0.7644
491,909.564,-0.781
492,909.556,-0.7977
493,909.548,-0.8144
494,909.54,-0.831
495,909.532,-0.8477
496,909.523,-0.8644
497,909.514,-0.881
498,909.506,-0.8977
499,909.496,-0.9144
500,909.487,-0.931
501,909.478,-0.9477
502,909.468,-0.9644
503,909.459,-0.981
504,909.449,-0.9977
505,909.439,-1.0144
506,909.428,-1.031
507,909.418,-1.0477
508,909.407,-1.0644
509,909.397,-1.081
510,909.386,-1.0977
511,909.375,-1.1144
512,909.364,-1.131
513,909.352,-1.1477
514,909.341,-1.1644
515,909.329,-1.181
516,909.317,-1.1977
517,909.305,-1.2144
518,909.293,-1.231
519,909.28,-1.2477
520,909.268,-1.2644
521,909.255,-1.281
522,909.242,-1.2977
523,909.229,-1.3144
524,909.216,-1.331
525,909.202,-1.3477
526,909.189,-1.3644
527,909.175,-1.381
528,909.161,-1.3977
529,909.147,-1.4144
530,909.133,-1.431
531,909.119,-1.4477
532,909.104,-1.4644
533,909.089,-1.481
534,909.074,-1.4977
535,909.059,-1.5144
536,909.044,-1.531
537,909.029,-1.5477
538,909.013,-1.5644
539,908.997,-1.581
540,908.982,-1.5977
541,908.965,-1.6144
542,908.949,-1.631
543,908.933,-1.6477
544,908.916,-1.6644
545,908.9,-1.681
546,908.883,-1.6977
547,908.866,-1.7144
548,908.848,-1.731
549,908.831,-1.7477
550,908.813,-1.7644
551,908.796,-1.781
552,908.778,-1.7977
553,908.76,-1.8144
554,908.742,-1.831
555,908.723,-1.8477
556,908.705,-1.8644
557,908.686,-1.881
558,908.667,-1.8977
559,908.648,-1.9144
560,908.629,-1.931
561,908.609,-1.9477
562,908.59,-1.9644
563,908.57,-1.981
564,908.55,-1.9977
565,908.53,-2.0144
566,908.51,-2.031
567,908.489,-2.0477
568,908.469,-2.0644
569,908.448,-2.081
570,908.427,-2.0977
571,908.406,-2.1144
572,908.385,-2.131
573,908.364,-2.1477
574,908.342,-2.1644
575,908.32,-2.181
576,908.298,-2.1977
577,908.276,-2.2144
578,908.254,-2.231
579,908.232,-2.2477
580,908.209,-2.2644
581,908.186,-2.281
582,908.163,-2.2977
583,908.14,-2.3144
584,908.117,-2.331
585,908.094,-2.3477
586,908.07,-2.3644
587,908.047,-2.381
588,908.023,-2.3977
589,907.999,-2.4144
590,907.974,-2.431
591,907.95,-2.4477
592,907.925,-2.4644
593,907.901,-2.481
594,907.876,-2.4977
595,907.851,-2.5144
596,907.825,-2.531
597,907.8,-2.5477
598,907.775,-2.5644
599,907.749,-2.581
600,907.723,-2.5977
601,907.697,-2.6144
602,907.671,-2.631
603,907.644,-2.6477
604,907.618,-2.6644
605,907.591,-2.681
606,907.564,-2.6977
607,907.537,-2.7144
608,907.51,-2.731
609,907.482,-2.7477
610,907.455,-2.7644
611,907.427,-2.781
612,907.399,-2.7977
613,907.371,-2.8144
614,907.343,-2.831
615,907.314,-2.8477
616,907.286,-2.8644
617,907.257,-2.881
618,907.228,-2.8977
619,907.199,-2.9144
620,907.17,-2.931
621,907.141,-2.9477
622,907.111,-2.9644
623,907.081,-2.981
624,907.051,-2.9977
625,907.021,-3.0144
626,906.991,-3.031
627,906.961,-3.0477
628,906.93,-3.0644
629,906.899,-3.081
630,906.869,-3.0977
631,906.838,-3.1144
632,906.806,-3.131
633,906.775,-3.1477
634,906.743,-3.1644
635,906.712,-3.181
636,906.68,-3.1977
637,906.648,-3.2144
638,906.615,-3.231
639,906.583,-3.2477
640,906.55,-3.2644
641,906.518,-3.281
642,906.485,-3.2977
643,906.452,-3.3144
644,906.419,-3.331
645,906.385,-3.3477
646,906.352,-3.3644
647,906.318,-3.381
648,906.284,-3.3977
649,906.25,-3.4144
650,906.216,-3.431
651,906.181,-3.4477
652,906.147,-3.4644
653,906.112,-3.481
654,906.077,-3.4977
